"name","political","social","overall","age","gender"
"MEP",100,96.98,98.49,65,"Male"
"MEP",87.03,98.26,92.645,57,"Female"
"MEP",89.54,92.18,90.86,50,"Male"
"MEP",80.33,94.86,87.595,51,"Female"
"MEP",77.82,95.03,86.425,49,"Female"
"MEP",71.55,98.72,85.135,42,"Male"
"MEP",79.92,89.12,84.52,58,"Male"
"MEP",65.69,99.91,82.8,68,"Male"
"MEP",68.83,92.69,80.76,64,"Female"
"MEP",74.06,83.33,78.695,42,"Male"
"MEP",64.85,92.01,78.43,57,"Female"
"MEP",66.95,88.69,77.82,65,"Female"
"MEP",62.34,92.64,77.49,54,"Female"
"MEP",62.34,89.33,75.835,38,"Female"
"MEP",82.43,67.6,75.015,61,"Male"
"MEP",74.9,74.45,74.675,51,"Female"
"MEP",65.27,83.97,74.62,47,"Male"
"MEP",59,88.44,73.72,54,"Female"
"MEP",69.77,77.3,73.535,64,"Male"
"MEP",66.11,80.57,73.34,58,"Male"
"MEP",53.77,91.45,72.61,37,"Female"
"MEP",47.7,95.54,71.62,63,"Female"
"MEP",45.19,95.49,70.34,63,"Male"
"MEP",70.29,70.03,70.16,57,"Male"
"MEP",53.56,84.82,69.19,51,"Male"
"MEP",65.69,71.94,68.815,68,"Female"
"MEP",42.68,94.39,68.535,51,"Male"
"MEP",49.79,86.52,68.155,70,"Male"
"MEP",58.58,76.45,67.515,61,"Male"
"MEP",76.99,57.7,67.345,39,"Male"
"MEP",40.17,94.47,67.32,51,"Female"
"MEP",87.45,46.09,66.77,60,"Male"
"MEP",57.74,75.47,66.605,50,"Male"
"MEP",38.91,93.49,66.2,68,"Male"
"MEP",54.81,77.25,66.03,56,"Male"
"MEP",43.51,88.05,65.78,68,"Male"
"MEP",50.21,80.31,65.26,35,"Male"
"MEP",33.05,97.28,65.165,49,"Male"
"MEP",64.33,64.33,64.33,58,"Male"
"MEP",46.03,82.1,64.065,58,"Male"
"MEP",35.56,91.45,63.505,41,"Male"
"MEP",41,85.71,63.355,44,"Male"
"MEP",32.64,94.01,63.325,48,"Female"
"MEP",52.72,73.81,63.265,73,"Female"
"MEP",74.06,52.3,63.18,53,"Female"
"MEP",41.42,84.27,62.845,54,"Male"
"MEP",30.96,94.05,62.505,36,"Female"
"MEP",43.51,80.57,62.04,33,"Female"
"MEP",36.82,87.16,61.99,58,"Female"
"MEP",35.56,88.22,61.89,77,"Male"
"MEP",39.33,83.55,61.44,59,"Male"
"MEP",65.69,57.1,61.395,65,"Male"
"MEP",50.42,71.47,60.945,29,"Female"
"MEP",34.73,87.07,60.9,60,"Female"
"MEP",48.54,72.87,60.705,45,"Female"
"MEP",31.38,89.88,60.63,62,"Female"
"MEP",32.22,88.95,60.585,69,"Male"
"MEP",35.56,85.33,60.445,73,"Male"
"MEP",43.1,77.68,60.39,52,"Male"
"MEP",22.59,97.28,59.935,39,"Male"
"MEP",42.26,76.91,59.585,28,"Female"
"MEP",27.62,91.24,59.43,68,"Male"
"MEP",61.51,57.27,59.39,51,"Female"
"MEP",32.22,86.52,59.37,57,"Male"
"MEP",25.52,92.98,59.25,63,"Male"
"MEP",23.85,94.09,58.97,54,"Male"
"MEP",55.23,62.54,58.885,43,"Male"
"MEP",40.17,77.38,58.775,40,"Female"
"MEP",25.1,92.3,58.7,38,"Male"
"MEP",37.66,79.42,58.54,47,"Male"
"MEP",29.5,87.33,58.415,68,"Female"
"MEP",51.88,64.58,58.23,63,"Female"
"MEP",30.13,86.1,58.115,69,"Male"
"MEP",25.52,90.56,58.04,32,"Female"
"MEP",42.68,73.3,57.99,32,"Female"
"MEP",31.38,84.35,57.865,52,"Male"
"MEP",35.98,79.59,57.785,47,"Male"
"MEP",30.96,84.31,57.635,45,"Male"
"MEP",54.39,60.8,57.595,46,"Male"
"MEP",22.59,92.56,57.575,41,"Female"
"MEP",43.51,71.43,57.47,38,"Female"
"MEP",18.41,96.51,57.46,38,"Female"
"MEP",33.05,81.34,57.195,47,"Female"
"MEP",17.15,96.98,57.065,65,"Male"
"MEP",42.26,71.64,56.95,48,"Male"
"MEP",41.84,71.68,56.76,40,"Male"
"MEP",47.28,66.2,56.74,48,"Male"
"MEP",41.42,71.73,56.575,67,"Female"
"MEP",20.92,92.09,56.505,45,"Male"
"MEP",25.1,87.8,56.45,39,"Male"
"MEP",30.96,81.34,56.15,46,"Female"
"MEP",58.58,53.36,55.97,45,"Male"
"MEP",37.66,73.98,55.82,64,"Male"
"MEP",35.56,75.47,55.515,49,"Female"
"MEP",18.41,92.52,55.465,34,"Female"
"MEP",29.29,81.42,55.355,40,"Female"
"MEP",42.26,68.24,55.25,50,"Female"
"MEP",24.69,85.71,55.2,76,"Female"
"MEP",23.85,86.52,55.185,41,"Female"
"MEP",23.85,86.44,55.145,50,"Male"
"MEP",35.15,74.66,54.905,41,"Female"
"MEP",40.17,69.56,54.865,48,"Male"
"MEP",34.73,74.53,54.63,48,"Male"
"MEP",20.92,88.14,54.53,45,"Male"
"MEP",13.81,95.15,54.48,46,"Male"
"MEP",33.47,74.96,54.215,55,"Male"
"MEP",12.55,95.88,54.215,34,"Male"
"MEP",31.38,76.91,54.145,58,"Male"
"MEP",59.83,48.38,54.105,59,"Female"
"MEP",26.78,81.04,53.91,35,"Male"
"MEP",23.01,83.55,53.28,51,"Male"
"MEP",26.36,79.72,53.04,53,"Male"
"MEP",26.36,79,52.68,41,"Male"
"MEP",21.76,83.46,52.61,28,"Male"
"MEP",19.25,85.97,52.61,54,"Male"
"MEP",18.83,86.35,52.59,46,"Male"
"MEP",39.75,65.39,52.57,60,"Male"
"MEP",32.22,72.83,52.525,42,"Male"
"MEP",34.73,70.32,52.525,56,"Male"
"MEP",48.95,56.04,52.495,67,"Male"
"MEP",12.55,92.35,52.45,53,"Female"
"MEP",28.45,76.36,52.405,42,"Male"
"MEP",35.98,68.71,52.345,39,"Male"
"MEP",47.28,57.19,52.235,36,"Male"
"MEP",28.87,75.34,52.105,44,"Male"
"MEP",46.86,56.89,51.875,37,"Male"
"MEP",35.98,67.64,51.81,45,"Female"
"MEP",15.9,87.54,51.72,36,"Male"
"MEP",25.1,78.32,51.71,71,"Female"
"MEP",48.95,54.38,51.665,48,"Male"
"MEP",35.15,68.03,51.59,40,"Male"
"MEP",28.45,74.57,51.51,35,"Male"
"MEP",77.41,25.6,51.505,47,"Male"
"MEP",30.13,72.83,51.48,66,"Female"
"MEP",33.05,69.18,51.115,46,"Female"
"MEP",8.37,93.54,50.955,31,"Female"
"MEP",25.1,76.62,50.86,54,"Female"
"MEP",32.22,68.96,50.59,48,"Male"
"MEP",45.61,55.48,50.545,63,"Male"
"MEP",25.94,75.04,50.49,39,"Male"
"MEP",30.54,70.41,50.475,34,"Male"
"MEP",22.59,78.02,50.305,31,"Male"
"MEP",28.45,71.73,50.09,57,"Male"
"MEP",17.15,82.91,50.03,59,"Female"
"MEP",35.98,63.86,49.92,36,"Male"
"MEP",27.2,72.62,49.91,65,"Female"
"MEP",35.15,64.58,49.865,35,"Female"
"MEP",34.31,65.39,49.85,59,"Female"
"MEP",28.45,71.22,49.835,55,"Male"
"MEP",34.73,64.75,49.74,36,"Male"
"MEP",34.73,64.24,49.485,51,"Male"
"MEP",25.1,73.55,49.325,53,"Male"
"MEP",43.1,55.53,49.315,43,"Male"
"MEP",22.18,76.28,49.23,60,"Female"
"MEP",35.15,63.1,49.125,37,"Female"
"MEP",23.85,74.23,49.04,51,"Female"
"MEP",23.85,73.94,48.895,61,"Male"
"MEP",8.37,89.24,48.805,56,"Male"
"MEP",27.62,69.94,48.78,63,"Male"
"MEP",29.29,68.2,48.745,54,"Female"
"MEP",18.83,78.15,48.49,58,"Male"
"MEP",26.36,70.37,48.365,42,"Female"
"MEP",68.62,27.85,48.235,69,"Male"
"MEP",13.39,82.99,48.19,47,"Female"
"MEP",38.91,57.44,48.175,56,"Male"
"MEP",27.62,68.66,48.14,36,"Male"
"MEP",40.59,55.53,48.06,62,"Male"
"MEP",35.98,59.91,47.945,62,"Female"
"MEP",38.91,56.93,47.92,42,"Male"
"MEP",38.49,57.31,47.9,47,"Female"
"MEP",6.28,89.33,47.805,35,"Male"
"MEP",20.92,74.62,47.77,42,"Female"
"MEP",21.34,74.19,47.765,37,"Female"
"MEP",45.19,50.3,47.745,65,"Male"
"MEP",16.74,77.42,47.08,68,"Female"
"MEP",43.93,50.13,47.03,54,"Female"
"MEP",25.94,68.07,47.005,52,"Female"
"MEP",15.06,78.57,46.815,37,"Male"
"MEP",15.06,78.19,46.625,60,"Male"
"MEP",22.18,71.05,46.615,48,"Male"
"MEP",7.53,85.67,46.6,39,"Female"
"MEP",21.34,71.73,46.535,52,"Male"
"MEP",39.33,53.66,46.495,45,"Female"
"MEP",16.32,76.62,46.47,58,"Male"
"MEP",15.9,76.87,46.385,37,"Male"
"MEP",30.13,62.59,46.36,43,"Male"
"MEP",43.1,49.49,46.295,67,"Female"
"MEP",18.41,73.98,46.195,57,"Female"
"MEP",18.41,73.77,46.09,37,"Female"
"MEP",35.56,56.25,45.905,58,"Male"
"MEP",50.21,41.58,45.895,70,"Male"
"MEP",46.44,45.32,45.88,85,"Male"
"MEP",21.34,70.03,45.685,67,"Female"
"MEP",38.49,52.85,45.67,57,"Female"
"MEP",35.98,55.27,45.625,59,"Male"
"MEP",26.36,64.88,45.62,56,"Male"
"MEP",30.13,60.93,45.53,66,"Female"
"MEP",41,49.79,45.395,56,"Male"
"MEP",29.29,61.48,45.385,69,"Male"
"MEP",33.47,57.23,45.35,53,"Male"
"MEP",39.75,50.89,45.32,77,"Male"
"MEP",21.76,68.66,45.21,36,"Male"
"MEP",3.35,87.07,45.21,38,"Male"
"MEP",24.69,65.48,45.085,55,"Male"
"MEP",11.72,78.36,45.04,49,"Male"
"MEP",10.04,80.02,45.03,34,"Female"
"MEP",34.31,55.57,44.94,40,"Male"
"MEP",28.03,61.56,44.795,75,"Male"
"MEP",16.32,73.13,44.725,45,"Male"
"MEP",8.79,80.48,44.635,42,"Female"
"MEP",27.62,61.61,44.615,72,"Male"
"MEP",12.55,76.57,44.56,52,"Male"
"MEP",47.28,41.79,44.535,59,"Male"
"MEP",26.36,62.71,44.535,52,"Male"
"MEP",18.41,70.58,44.495,65,"Male"
"MEP",23.43,65.48,44.455,54,"Male"
"MEP",23.43,65.35,44.39,45,"Male"
"MEP",35.56,53.15,44.355,56,"Female"
"MEP",25.1,63.48,44.29,64,"Female"
"MEP",43.93,44.56,44.245,37,"Male"
"MEP",20.92,67.52,44.22,55,"Male"
"MEP",15.06,72.92,43.99,54,"Female"
"MEP",25.1,62.84,43.97,53,"Female"
"MEP",23.85,64.03,43.94,48,"Female"
"MEP",25.1,62.67,43.885,65,"Male"
"MEP",7.11,80.65,43.88,42,"Female"
"MEP",23.85,63.78,43.815,34,"Female"
"MEP",26.36,61.22,43.79,38,"Male"
"MEP",28.87,58.38,43.625,49,"Male"
"MEP",30.96,56.16,43.56,48,"Female"
"MEP",36.4,50.17,43.285,61,"Male"
"MEP",30.96,55.61,43.285,44,"Male"
"MEP",17.15,69.39,43.27,45,"Female"
"MEP",20.08,66.2,43.14,63,"Female"
"MEP",8.37,77.76,43.065,45,"Male"
"MEP",27.2,58.89,43.045,28,"Female"
"MEP",11.3,74.66,42.98,55,"Male"
"MEP",36.82,48.85,42.835,62,"Male"
"MEP",28.87,56.72,42.795,52,"Female"
"MEP",11.3,74.19,42.745,44,"Male"
"MEP",17.99,67.35,42.67,61,"Male"
"MEP",34.31,50.89,42.6,43,"Male"
"MEP",26.36,58.76,42.56,34,"Female"
"MEP",27.62,57.44,42.53,65,"Male"
"MEP",22.59,62.46,42.525,56,"Female"
"MEP",9.62,75.38,42.5,66,"Male"
"MEP",19.67,64.92,42.295,66,"Male"
"MEP",37.66,46.85,42.255,56,"Male"
"MEP",23.43,60.93,42.18,48,"Female"
"MEP",36.4,47.83,42.115,56,"Male"
"MEP",22.18,62.03,42.105,49,"Female"
"MEP",20.92,63.18,42.05,59,"Female"
"MEP",33.05,51.02,42.035,42,"Female"
"MEP",25.1,58.84,41.97,35,"Female"
"MEP",38.91,44.98,41.945,59,"Male"
"MEP",21.34,62.41,41.875,53,"Male"
"MEP",28.03,55.02,41.525,58,"Female"
"MEP",30.96,52,41.48,63,"Male"
"MEP",48.95,33.93,41.44,60,"Male"
"MEP",41.42,41.16,41.29,52,"Male"
"MEP",28.03,54.42,41.225,81,"Male"
"MEP",26.36,55.95,41.155,55,"Female"
"MEP",27.62,54.59,41.105,45,"Male"
"MEP",7.95,74.23,41.09,43,"Male"
"MEP",34.73,47.15,40.94,60,"Male"
"MEP",25.1,56.55,40.825,50,"Female"
"MEP",16.74,64.8,40.77,52,"Female"
"MEP",33.89,47.32,40.605,42,"Male"
"MEP",38.49,42.6,40.545,55,"Male"
"MEP",39.75,41.16,40.455,69,"Female"
"MEP",7.11,73.77,40.44,47,"Female"
"MEP",14.23,66.62,40.425,49,"Male"
"MEP",38.91,41.92,40.415,60,"Female"
"MEP",11.3,69.39,40.345,59,"Female"
"MEP",26.78,53.87,40.325,53,"Female"
"MEP",15.9,64.71,40.305,37,"Male"
"MEP",13.81,66.79,40.3,35,"Male"
"MEP",17.57,63.01,40.29,54,"Male"
"MEP",28.03,52.17,40.1,68,"Female"
"MEP",28.87,51.15,40.01,58,"Female"
"MEP",5.86,73.55,39.705,26,"Male"
"MEP",17.57,61.78,39.675,44,"Female"
"MEP",17.15,62.03,39.59,68,"Male"
"MEP",38.49,40.52,39.505,58,"Female"
"MEP",25.1,53.87,39.485,39,"Male"
"MEP",15.06,63.39,39.225,41,"Male"
"MEP",26.78,51.23,39.005,45,"Female"
"MEP",9.62,68.37,38.995,60,"Male"
"MEP",10.88,67.09,38.985,46,"Male"
"MEP",7.95,69.81,38.88,45,"Female"
"MEP",2.51,75.21,38.86,54,"Male"
"MEP",15.06,62.59,38.825,23,"Female"
"MEP",26.36,51.28,38.82,56,"Male"
"MEP",7.11,70.45,38.78,57,"Male"
"MEP",26.36,51.02,38.69,49,"Female"
"MEP",8.79,68.49,38.64,52,"Female"
"MEP",9.21,67.98,38.595,46,"Male"
"MEP",23.85,53.32,38.585,30,"Female"
"MEP",24.69,52.38,38.535,57,"Female"
"MEP",8.37,68.62,38.495,55,"Male"
"MEP",0.84,75.85,38.345,73,"Male"
"MEP",8.79,67.64,38.215,35,"Male"
"MEP",27.62,48.77,38.195,56,"Male"
"MEP",16.32,60.03,38.175,45,"Female"
"MEP",27.62,48.43,38.025,67,"Male"
"MEP",20.92,55.06,37.99,64,"Female"
"MEP",13.39,62.37,37.88,51,"Female"
"MEP",10.88,64.8,37.84,63,"Male"
"MEP",28.03,47.28,37.655,68,"Male"
"MEP",28.87,46.34,37.605,31,"Female"
"MEP",22.18,53.02,37.6,35,"Female"
"MEP",18.83,56.08,37.455,56,"Male"
"MEP",20.5,54.12,37.31,62,"Female"
"MEP",25.1,49.49,37.295,54,"Male"
"MEP",29.5,44.69,37.095,58,"Female"
"MEP",23.85,49.83,36.84,34,"Female"
"MEP",11.3,62.29,36.795,66,"Male"
"MEP",19.67,53.7,36.685,60,"Male"
"MEP",41.42,31.89,36.655,53,"Male"
"MEP",38.49,34.61,36.55,45,"Male"
"MEP",17.57,55.44,36.505,42,"Female"
"MEP",30.96,41.96,36.46,46,"Male"
"MEP",38.91,33.93,36.42,53,"Male"
"MEP",38.49,34.35,36.42,54,"Male"
"MEP",6.28,66.03,36.155,42,"Female"
"MEP",29.71,42.3,36.005,66,"Female"
"MEP",31.38,40.48,35.93,61,"Female"
"MEP",25.52,46.34,35.93,32,"Female"
"MEP",25.1,46.68,35.89,58,"Male"
"MEP",20.92,50.6,35.76,56,"Female"
"MEP",31.8,38.99,35.395,42,"Female"
"MEP",10.46,60.29,35.375,49,"Female"
"MEP",27.62,43.03,35.325,41,"Male"
